FBgn	Symbol	FullName	Symbol_synonym(s)
FBgn0266583	Nrt::spi		Nrt-Spi
FBgn0266584	Gli::spi		
FBgn0266585	tRNA:Leu-CAG-1-8	transfer RNA:Leucine-CAG 1-8	AE002647.trna1-LeuCAG|CR32456|CUG|chr3L.trna32-LeuCAG|tRNA-Leu-CAG-1-8|tRNA:CR32456|tRNA:L2:79F|tRNA:L:CAG:AE002647|tRNA:leu2:79F|tRNA[LEU]|tRNA[LEU]|tRNA[Leu]|tRNA[Leu]|tRNA[Leu][[2]]|tRNA[Leu][[2]]
FBgn0266586	lncRNA:CR45111	long non-coding RNA:CR45111	CR45111
FBgn0266587	lncRNA:CR45112	long non-coding RNA:CR45112	CR45112
FBgn0266588	lncRNA:CR45113	long non-coding RNA:CR45113	CR45113
FBgn0266589	lncRNA:CR45114	long non-coding RNA:CR45114	CR45114|lincRNA.452
FBgn0266590	lncRNA:CR45115	long non-coding RNA:CR45115	CR45115
FBgn0266591	CG45116		FBgn0266591
FBgn0266592	lncRNA:CR45117	long non-coding RNA:CR45117	CR45117
FBgn0266593	lncRNA:CR45118	long non-coding RNA:CR45118	CR45118
FBgn0266594	lncRNA:CR45119	long non-coding RNA:CR45119	CR45119
FBgn0266595	lncRNA:CR45120	long non-coding RNA:CR45120	CR45120
FBgn0266596	asRNA:CR45121	antisense RNA:CR45121	CR45121
FBgn0266597	ewg::Dvir\ewg		
FBgn0266598	Kmn2	kinetochore Mis12-Ndc80 network component 2	CG42550|HDC12388
FBgn0266599	Hsc70-4	Heat shock protein cognate 4	BAP74|Bap74|CG4264|E(csp)1545|E(nd)195|HSC-70|HSC4|HSC70|HSC70-4|HSP70|Hsc-4|Hsc-70-4|Hsc4|Hsc4p|Hsc70|Hsc70.4|Hsp-c4|Hsp70|Q3KN45_DROME|anon-WO0118547.237|bs17d06.y1|chr3R:11070155..11070315|dHSP70|dHsp70|dhsc70|hsc4|hsc70|hsc70-4|hsp70|i190|l(3)03550|l(3)L3929|l(3)j7A4|mtHsp 70|scd
FBgn0266615	CG45122		
FBgn0266616	lncRNA:CR45123	long non-coding RNA:CR45123	CR45123
FBgn0266617	asRNA:CR45124	antisense RNA:CR45124	CR45124
FBgn0266618	lncRNA:CR45125	long non-coding RNA:CR45125	CR45125
FBgn0266619	asRNA:CR45126	antisense RNA:CR45126	CR45126
FBgn0266620	lncRNA:CR45127	long non-coding RNA:CR45127	CR45127
FBgn0266621	lncRNA:CR45128	long non-coding RNA:CR45128	CR45128
FBgn0266622	asRNA:CR45129	antisense RNA:CR45129	CR45129
FBgn0266623	asRNA:CR45130	antisense RNA:CR45130	CR45130
FBgn0266624	asRNA:CR45131	antisense RNA:CR45131	CR45131
FBgn0266625	asRNA:CR45132	antisense RNA:CR45132	CR45132
FBgn0266626	asRNA:CR45133	antisense RNA:CR45133	CR45133
FBgn0266627	asRNA:CR45134	antisense RNA:CR45134	CR45134
FBgn0266628	asRNA:CR45135	antisense RNA:CR45135	CR45135
FBgn0266629	asRNA:CR45136	antisense RNA:CR45136	CR45136
FBgn0266630	asRNA:CR45137	antisense RNA:CR45137	CR45137
FBgn0266631	lncRNA:CR45138	long non-coding RNA:CR45138	CR45138
FBgn0266632	asRNA:CR45139	antisense RNA:CR45139	CR45139
FBgn0266633	asRNA:CR45140	antisense RNA:CR45140	CR45140
FBgn0266634	asRNA:CR45141	antisense RNA:CR45141	CR45141
FBgn0266635	asRNA:CR45142	antisense RNA:CR45142	CR45142
FBgn0266636	asRNA:CR45143	antisense RNA:CR45143	CR45143
FBgn0266637	asRNA:CR45144	antisense RNA:CR45144	CR45144
FBgn0266638	asRNA:CR45145	antisense RNA:CR45145	CR45145
FBgn0266639	asRNA:CR45146	antisense RNA:CR45146	CR45146
FBgn0266640	lncRNA:CR45147	long non-coding RNA:CR45147	CR45147
FBgn0266641	lncRNA:CR45148	long non-coding RNA:CR45148	CR45148|lincRNA.368
FBgn0266642	asRNA:CR45149	antisense RNA:CR45149	CR45149
FBgn0266643	lncRNA:CR45150	long non-coding RNA:CR45150	CR45150
FBgn0266644	asRNA:CR45151	antisense RNA:CR45151	CR45151
FBgn0266645	asRNA:CR45152	antisense RNA:CR45152	CR45152
FBgn0266646	lncRNA:CR45153	long non-coding RNA:CR45153	CR45153
FBgn0266647	CG45154		CR45154
FBgn0266648	lncRNA:CR45155	long non-coding RNA:CR45155	CR45155
FBgn0266649	lncRNA:CR45156	long non-coding RNA:CR45156	CR45156
FBgn0266650	lncRNA:CR45157	long non-coding RNA:CR45157	CR45157
FBgn0266651	lncRNA:CR45158	long non-coding RNA:CR45158	CR45158
FBgn0266652	lncRNA:CR45159	long non-coding RNA:CR45159	CR45159
FBgn0266653	asRNA:CR45160	antisense RNA:CR45160	CR45160
FBgn0266654	asRNA:CR45161	antisense RNA:CR45161	CR45161
FBgn0266655	asRNA:CR45162	antisense RNA:CR45162	CR45162
FBgn0266656	asRNA:CR45163	antisense RNA:CR45163	CR45163
FBgn0266657	asRNA:CR45164	antisense RNA:CR45164	CR45164
FBgn0266666	Sem1	Suppressor of exocyst mutations 1	BcDNA:RH34416|CG13779|DSS1|Sem1p|dmdss1|dss1|sem1
FBgn0266667	Exo70	Exocyst 70	CG7127|Exo70p|exo70
FBgn0266668	Exo84	Exocyst 84	CG6095|DExo84|Exo84p|anon-WO0153538.55|exo84|onr
FBgn0266669	Sec3	Secretory 3	CG3885|sec3
FBgn0266670	Sec5	Secretory 5	CG8843|SEC5|Sec-5|Sec5p|dsec5|sec5
FBgn0266671	Sec6	Secretory 6	CG5341|Dsec6|Sec6p|dsec6|sec 6|sec6
FBgn0266672	Sec8	Secretory 8	CG2095|Sec8p|dsec8|fun|sec8
FBgn0266673	Sec10	Secretory 10	CG6159|P71|Sec10p|dSec10|dsec10|sec10
FBgn0266674	Sec15	Secretory 15	3R41|CG7034|Sec15p|dsec15|sec15
FBgn0266675	lncRNA:CR45165	long non-coding RNA:CR45165	CR45165
FBgn0266676	lncRNA:CR45166	long non-coding RNA:CR45166	CR45166
FBgn0266677	asRNA:CR45167	antisense RNA:CR45167	CR45167
FBgn0266678	lncRNA:CR45168	long non-coding RNA:CR45168	CR45168
FBgn0266679	lncRNA:CR45169	long non-coding RNA:CR45169	CR45169
FBgn0266680	lncRNA:CR45170	long non-coding RNA:CR45170	CR45170
FBgn0266681	asRNA:CR45171	antisense RNA:CR45171	CR45171
FBgn0266682	lncRNA:CR45172	long non-coding RNA:CR45172	CR45172
FBgn0266683	lncRNA:CR45173	long non-coding RNA:CR45173	CR45173
FBgn0266684	lncRNA:CR45174	long non-coding RNA:CR45174	CR45174
FBgn0266685	asRNA:CR45175	antisense RNA:CR45175	CR45175
FBgn0266686	lncRNA:CR45176	long non-coding RNA:CR45176	CR45176
FBgn0266687	lncRNA:CR45177	long non-coding RNA:CR45177	CR45177
FBgn0266688	lncRNA:CR45178	long non-coding RNA:CR45178	CR45178
FBgn0266689	lncRNA:CR45179	long non-coding RNA:CR45179	CR45179
FBgn0266690	lncRNA:CR45180	long non-coding RNA:CR45180	CR45180
FBgn0266691	lncRNA:CR45181	long non-coding RNA:CR45181	CR45181
FBgn0266692	asRNA:CR45182	antisense RNA:CR45182	CR45182
FBgn0266693	lncRNA:CR45183	long non-coding RNA:CR45183	CR45183
FBgn0266694	lncRNA:CR45184	long non-coding RNA:CR45184	CR45184
FBgn0266696	Svil	Supervillin	CG1141|CG12790|CG13797|CG13798|CG13799|CG13800|CG16763|CG16764|CG32306|CG33231|CG33232|CG42669|CG45186|Svil|c62E-11
FBgn0266697	lncRNA:CR45187	long non-coding RNA:CR45187	CR45187
FBgn0266698	lncRNA:CR45188	long non-coding RNA:CR45188	CR45188
FBgn0266699	asRNA:CR45189	antisense RNA:CR45189	CR45189
FBgn0266700	asRNA:CR45190	antisense RNA:CR45190	CR45190
FBgn0266701	lncRNA:CR45191	long non-coding RNA:CR45191	CR45191
FBgn0266702	asRNA:CR45192	antisense RNA:CR45192	CR45192
FBgn0266703	lncRNA:CR45193	long non-coding RNA:CR45193	CR45193|lincRNA.793
FBgn0266704	CR45194		
FBgn0266705	asRNA:CR45195	antisense RNA:CR45195	CR45195
FBgn0266706	lncRNA:CR45196	long non-coding RNA:CR45196	CR45196
FBgn0266707	lncRNA:CR45197	long non-coding RNA:CR45197	CR45197
FBgn0266708	Cep89	Centrosomal protein 89kDa	CEP89|CG8214
FBgn0266709	Zmynd10	Zinc finger MYND-type containing 10	CG11253
FBgn0266710	hog	hog	CG32595
FBgn0266711	EloC	Elongin C	BcDNA:RH71704|CG9291|Elongin C|Elongin-C|ElonginC|dElongin C|l(2)SH1299|l(2)SH1520|l(2)SH2 1520
FBgn0266717	Bruce	BIR repeat containing ubiquitin-conjugating enzyme	BRUCE|CG6303|bruce|dBRUCE|dBruce|dbruce|mod86
FBgn0266719	stac	staccato	BP1013|CG11819|CG34037|CG34349|Stac|Unc-13-4B|dunc-13-4B|unc-13-4B
FBgn0266720	Snap24	Synaptosomal-associated protein 24kDa	CG9474|SNAP-24|SNAP-25b|SNAP24|Snap25b|snap24
FBgn0266721	γSnap2	γ Soluble NSF attachment protein 2	CG6208|SNAP-31|gammaSNAP|γSNAP|gammaSnap-2|γSnap-2|gammaSnap2
FBgn0266722	Trs33	TRAPP subunit 33	BcDNA:RH37427|CG6196|TRAPPC6|Trs33p|dTrs33
FBgn0266723	Trs31	TRAPP subunit 31	CG10153|TRAPPC5|Trs31p
FBgn0266724	Trs20	TRAPP subunit 20	BcDNA:RE62842|CG5161|E(smoDN)B-left|Group B-left|TRAPP2C|TRAPPC2|Trs20p|l(3)72Dh
FBgn0266725	asRNA:CR45198	antisense RNA:CR45198	CR45198
FBgn0266726	lncRNA:CR45199	long non-coding RNA:CR45199	CR45199
FBgn0266727	lncRNA:CR45200	long non-coding RNA:CR45200	CR45200
FBgn0266728	lncRNA:CR45201	long non-coding RNA:CR45201	CR45201
FBgn0266729	asRNA:CR45202	antisense RNA:CR45202	CR45202
FBgn0266730	lncRNA:CR45203	long non-coding RNA:CR45203	CR45203
FBgn0266731	lncRNA:CR45204	long non-coding RNA:CR45204	CR45204
FBgn0266732	asRNA:CR45205	antisense RNA:CR45205	CR45205
FBgn0266733	asRNA:CR45206	antisense RNA:CR45206	CR45206
FBgn0266734	CG45207		CR45207|lncRNA:CR45207
FBgn0266735	asRNA:CR45208	antisense RNA:CR45208	CR45208
FBgn0266736	asRNA:CR45209	antisense RNA:CR45209	CR45209
FBgn0266737	asRNA:CR45210	antisense RNA:CR45210	CR45210
FBgn0266738	lncRNA:CR45211	long non-coding RNA:CR45211	CR45211
FBgn0266739	lncRNA:CR45212	long non-coding RNA:CR45212	CR45212
FBgn0266740	asRNA:CR45213	antisense RNA:CR45213	CR45213
FBgn0266741	asRNA:CR45214	antisense RNA:CR45214	CR45214
FBgn0266742	lncRNA:CR45215	long non-coding RNA:CR45215	CR45215
FBgn0266743	lncRNA:CR45216	long non-coding RNA:CR45216	CR45216
FBgn0266744	lncRNA:CR45217	long non-coding RNA:CR45217	CR45217
FBgn0266745	CG45218		FBgn0266745
FBgn0266747	lncRNA:CR45220	long non-coding RNA:CR45220	CR45220
FBgn0266748	lncRNA:CR45221	long non-coding RNA:CR45221	CR45221
FBgn0266749	lncRNA:CR45222	long non-coding RNA:CR45222	CR45222
FBgn0266750	lncRNA:CR45223	long non-coding RNA:CR45223	CR45223
FBgn0266751	lncRNA:CR45224	long non-coding RNA:CR45224	CR45224
FBgn0266752	lncRNA:CR45225	long non-coding RNA:CR45225	CR45225
FBgn0266753	lncRNA:CR45226	long non-coding RNA:CR45226	CR45226
FBgn0266756	btsz	bitesize	BcDNA:GH06647|Btsz|CG14858|CG17304|CG18280|CG31306|CG33555|CG44012|CG7343|Granulophilin|l(3)10418
FBgn0266757	mfr	misfire	CG5747|Otoferlin
FBgn0266758	Esyt2	Extended synaptotagmin-like protein 2	CG6643|E-Syt2|Esyt|Tricalbin|dESyt|dEsyt
FBgn0266759	shg::Rnor\Cd2::α-Cat		shg::Rnor\CD2::alpha-Cat|shg::Rnor\CD2::α-Cat
FBgn0266761	shg::Mmus\Cdh1		shg::Mmus\cdh1
FBgn0266762	CR45227		
FBgn0266763	lncRNA:CR45228	long non-coding RNA:CR45228	CR45228
FBgn0266764	lncRNA:CR45229	long non-coding RNA:CR45229	CR45229
FBgn0266766	lncRNA:CR45231	long non-coding RNA:CR45231	CR45231
FBgn0266768	lncRNA:CR45233	long non-coding RNA:CR45233	CR45233
FBgn0266769	lncRNA:CR45234	long non-coding RNA:CR45234	CR45234|lincRNA.599
FBgn0266770	CR45235		
FBgn0266771	lncRNA:CR45236	long non-coding RNA:CR45236	CR45236
FBgn0266772	lncRNA:CR45237	long non-coding RNA:CR45237	CR45237
FBgn0266773	lncRNA:CR45238	long non-coding RNA:CR45238	CR45238
FBgn0266774	lncRNA:CR45239	long non-coding RNA:CR45239	CR45239
FBgn0266775	lncRNA:CR45240	long non-coding RNA:CR45240	CR45240
FBgn0266776	lncRNA:CR45241	long non-coding RNA:CR45241	CR45241
FBgn0266777	lncRNA:CR45242	long non-coding RNA:CR45242	CR45242
FBgn0266778	lncRNA:CR45243	long non-coding RNA:CR45243	CR45243
FBgn0266780	lncRNA:CR45245	long non-coding RNA:CR45245	CR45245
FBgn0266781	lncRNA:CR45246	long non-coding RNA:CR45246	CR45246
FBgn0266782	lncRNA:CR45247	long non-coding RNA:CR45247	CR45247
FBgn0266783	lncRNA:CR45248	long non-coding RNA:CR45248	CR45248
FBgn0266784	lncRNA:CR45249	long non-coding RNA:CR45249	CR45249
FBgn0266785	lncRNA:CR45250	long non-coding RNA:CR45250	CR45250
FBgn0266786	lncRNA:CR45251	long non-coding RNA:CR45251	CR45251
FBgn0266787	lncRNA:CR45252	long non-coding RNA:CR45252	CR45252
FBgn0266788	lncRNA:CR45253	long non-coding RNA:CR45253	CR45253|lincRNA.540
FBgn0266789	lncRNA:CR45254	long non-coding RNA:CR45254	CR45254
FBgn0266790	lncRNA:CR45255	long non-coding RNA:CR45255	CR45255|lincRNA.540
FBgn0266791	lncRNA:CR45256	long non-coding RNA:CR45256	CR45256
FBgn0266795	asRNA:CR45257	antisense RNA:CR45257	CR45257
FBgn0266796	lncRNA:CR45258	long non-coding RNA:CR45258	CR45258
FBgn0266797	lncRNA:CR45259	long non-coding RNA:CR45259	CR45259
FBgn0266798	asRNA:CR45260	antisense RNA:CR45260	CR45260
FBgn0266799	lncRNA:CR45261	long non-coding RNA:CR45261	CR45261
FBgn0266800	lncRNA:CR45262	long non-coding RNA:CR45262	CR45262
FBgn0266801	CG45263		43462|BcDNA:AT05815|BcDNA:GH22170|CG11718|CG11729|CG11730|CG11731|CG11733|CG31264|CG31369|CG31462|CG42285|CG42286|CG43462|CT32186|GH22170|GS3056|MRE1|anon-EST:Posey178
FBgn0266802	asRNA:CR45264	antisense RNA:CR45264	CR45264
FBgn0266803	lncRNA:CR45265	long non-coding RNA:CR45265	CR45265
FBgn0266804	lncRNA:CR45266	long non-coding RNA:CR45266	CR45266
FBgn0266805	lncRNA:CR45267	long non-coding RNA:CR45267	CR45267
FBgn0266806	asRNA:CR45268	antisense RNA:CR45268	CR45268
FBgn0266807	lncRNA:CR45269	long non-coding RNA:CR45269	CR45269
FBgn0266808	asRNA:CR45270	antisense RNA:CR45270	CR45270|XLOC_007956|lncRNA:CR45270
FBgn0266809	asRNA:CR45271	antisense RNA:CR45271	CR45271
FBgn0266810	asRNA:CR45272	antisense RNA:CR45272	CR45272
FBgn0266811	CG45273		CR45273|lncRNA:CR45273
FBgn0266812	lncRNA:CR45274	long non-coding RNA:CR45274	CR45274
FBgn0266813	asRNA:CR45275	antisense RNA:CR45275	CR45275
FBgn0266814	lncRNA:CR45276	long non-coding RNA:CR45276	CR45276|XLOC_005255
FBgn0266815	lncRNA:CR45277	long non-coding RNA:CR45277	CR45277
FBgn0266816	lncRNA:CR45278	long non-coding RNA:CR45278	CR45278
FBgn0266817	lncRNA:CR45279	long non-coding RNA:CR45279	CR45279
FBgn0266818	lncRNA:CR45280	long non-coding RNA:CR45280	CR45280
FBgn0266819	asRNA:CR45281	antisense RNA:CR45281	CR45281|lincRNA.S2433
FBgn0266820	lncRNA:CR45282	long non-coding RNA:CR45282	CR45282
FBgn0266821	lncRNA:CR45283	long non-coding RNA:CR45283	CR45283
FBgn0266822	lncRNA:CR45284	long non-coding RNA:CR45284	CR45284
FBgn0266823	lncRNA:CR45285	long non-coding RNA:CR45285	CR45285
FBgn0266824	lncRNA:CR45286	long non-coding RNA:CR45286	CR45286
FBgn0266825	lncRNA:CR45287	long non-coding RNA:CR45287	CR45287
FBgn0266826	lncRNA:CR45288	long non-coding RNA:CR45288	CR45288
FBgn0266827	lncRNA:CR45289	long non-coding RNA:CR45289	CR45289
FBgn0266828	lncRNA:CR45290	long non-coding RNA:CR45290	CR45290
FBgn0266829	lncRNA:CR45291	long non-coding RNA:CR45291	CR45291
FBgn0266830	lncRNA:CR45292	long non-coding RNA:CR45292	CR45292
FBgn0266831	lncRNA:CR45293	long non-coding RNA:CR45293	CR45293
FBgn0266832	lncRNA:CR45294	long non-coding RNA:CR45294	CR45294
FBgn0266833	lncRNA:CR45295	long non-coding RNA:CR45295	CR45295
FBgn0266834	lncRNA:CR45296	long non-coding RNA:CR45296	CR45296
FBgn0266835	lncRNA:CR45297	long non-coding RNA:CR45297	CR45297
FBgn0266836	lncRNA:CR45298	long non-coding RNA:CR45298	CR45298
FBgn0266837	lncRNA:CR45299	long non-coding RNA:CR45299	CR45299
FBgn0266838	asRNA:CR45300	antisense RNA:CR45300	CR45300
FBgn0266839	lncRNA:CR45301	long non-coding RNA:CR45301	CR45301
FBgn0266840	lncRNA:CR45302	long non-coding RNA:CR45302	CR45302
FBgn0266841	lncRNA:CR45303	long non-coding RNA:CR45303	CR45303|chr2L_14496969_14498135
FBgn0266842	lncRNA:CR45304	long non-coding RNA:CR45304	CR45304
FBgn0266843	asRNA:CR45305	antisense RNA:CR45305	CR45305
FBgn0266844	lncRNA:CR45306	long non-coding RNA:CR45306	CR45306
FBgn0266845	CG45307		FBgn0266845|lincRNA.77
FBgn0266846	lncRNA:CR45308	long non-coding RNA:CR45308	CR45308
FBgn0266847	lncRNA:CR45309	long non-coding RNA:CR45309	CR45309|XLOC_004996
FBgn0266848	wap	wings apart	15|16|19|20|21|22|BcDNA:GM08142|CG14614|Q217|Q464|Riq|WAP|l(1)20Ab|l(1)A-200|l(1)HM33|l(1)Q217|l(1)Q464|riq
FBgn0266849	lncRNA:CR45310	long non-coding RNA:CR45310	CR45310
FBgn0266850	lncRNA:CR45311	long non-coding RNA:CR45311	CR45311
FBgn0266851	lncRNA:CR45312	long non-coding RNA:CR45312	CR45312
FBgn0266852	lncRNA:CR45313	long non-coding RNA:CR45313	CR45313
FBgn0266853	lncRNA:CR45314	long non-coding RNA:CR45314	CR45314
FBgn0266854	CR45315		
FBgn0266855	lncRNA:CR45316	long non-coding RNA:CR45316	CR45316|lincRNA.321
FBgn0266856	lncRNA:CR45317	long non-coding RNA:CR45317	CR45317|lincRNA.321
FBgn0266857	lncRNA:CR45318	long non-coding RNA:CR45318	CR45318
FBgn0266858	lncRNA:CR45319	long non-coding RNA:CR45319	CR45319
FBgn0266859	lncRNA:CR45320	long non-coding RNA:CR45320	CR45320
FBgn0266860	lncRNA:CR45321	long non-coding RNA:CR45321	CR45321|XLOC_007166
FBgn0266861	lncRNA:CR45322	long non-coding RNA:CR45322	CR45322
FBgn0266862	lncRNA:CR45323	long non-coding RNA:CR45323	CR45323
FBgn0266863	lncRNA:CR45324	long non-coding RNA:CR45324	CR45324
FBgn0266864	lncRNA:CR45325	long non-coding RNA:CR45325	CR45325
FBgn0266865	asRNA:CR45326	antisense RNA:CR45326	CR45326
FBgn0266866	lncRNA:CR45327	long non-coding RNA:CR45327	CR45327
FBgn0266867	lncRNA:CR45328	long non-coding RNA:CR45328	CR45328
FBgn0266868	lncRNA:CR45329	long non-coding RNA:CR45329	CR45329
FBgn0266869	asRNA:CR45330	antisense RNA:CR45330	CR45330
FBgn0266870	lncRNA:CR45331	long non-coding RNA:CR45331	CR45331
FBgn0266871	lncRNA:CR45332	long non-coding RNA:CR45332	CR45332
FBgn0266872	lncRNA:CR45333	long non-coding RNA:CR45333	CR45333
FBgn0266873	lncRNA:CR45334	long non-coding RNA:CR45334	CR45334
FBgn0266874	lncRNA:CR45335	long non-coding RNA:CR45335	CR45335
FBgn0266875	lncRNA:CR45336	long non-coding RNA:CR45336	CR45336
FBgn0266876	lncRNA:CR45337	long non-coding RNA:CR45337	CR45337
FBgn0266877	lncRNA:CR45338	long non-coding RNA:CR45338	CR45338
FBgn0266878	lncRNA:CR45339	long non-coding RNA:CR45339	CR45339
FBgn0266879	lncRNA:CR45340	long non-coding RNA:CR45340	CR45340
FBgn0266880	asRNA:CR45341	antisense RNA:CR45341	CR45341
FBgn0266881	asRNA:CR45342	antisense RNA:CR45342	CR45342
FBgn0266882	asRNA:CR45343	antisense RNA:CR45343	CR45343
FBgn0266883	lncRNA:CR45344	long non-coding RNA:CR45344	CR45344
FBgn0266884	lncRNA:CR45345	long non-coding RNA:CR45345	CR45345
FBgn0266885	lncRNA:CR45346	long non-coding RNA:CR45346	CR45346
FBgn0266886	lncRNA:CR45347	long non-coding RNA:CR45347	CR45347
FBgn0266887	lncRNA:CR45348	long non-coding RNA:CR45348	CR45348
FBgn0266888	lncRNA:CR45349	long non-coding RNA:CR45349	CR45349
FBgn0266889	asRNA:CR45350	antisense RNA:CR45350	CR45350
FBgn0266891	lncRNA:CR45351	long non-coding RNA:CR45351	CR45351
FBgn0266892	lncRNA:CR45352	long non-coding RNA:CR45352	CR45352
FBgn0266893	lncRNA:CR45353	long non-coding RNA:CR45353	CR45353
FBgn0266894	lncRNA:CR45354	long non-coding RNA:CR45354	CR45354
FBgn0266895	lncRNA:CR45355	long non-coding RNA:CR45355	CR45355
FBgn0266896	lncRNA:CR45356	long non-coding RNA:CR45356	CR45356|lincRNA.165
FBgn0266897	lncRNA:CR45357	long non-coding RNA:CR45357	CR45357
FBgn0266898	lncRNA:CR45358	long non-coding RNA:CR45358	CR45358
FBgn0266899	lncRNA:CR45359	long non-coding RNA:CR45359	CR45359
FBgn0266900	lncRNA:CR45360	long non-coding RNA:CR45360	CR45360
FBgn0266901	lncRNA:CR45361	long non-coding RNA:CR45361	CR45361|pri-mir-1
FBgn0266902	lncRNA:CR45362	long non-coding RNA:CR45362	CR45362
FBgn0266903	lncRNA:CR45363	long non-coding RNA:CR45363	CR45363
FBgn0266904	lncRNA:CR45364	long non-coding RNA:CR45364	CR45364|lincRNA.73
FBgn0266905	lncRNA:CR45365	long non-coding RNA:CR45365	CR45365
FBgn0266906	asRNA:CR45366	antisense RNA:CR45366	CR45366
FBgn0266907	asRNA:CR45367	antisense RNA:CR45367	CR45367
FBgn0266908	lncRNA:CR45368	long non-coding RNA:CR45368	CR45368
FBgn0266909	lncRNA:CR45369	long non-coding RNA:CR45369	CR45369
FBgn0266910	lncRNA:CR45370	long non-coding RNA:CR45370	CR45370
FBgn0266911	asRNA:CR45371	antisense RNA:CR45371	CR45371
FBgn0266912	lncRNA:CR45372	long non-coding RNA:CR45372	CR45372
FBgn0266913	lncRNA:CR45373	long non-coding RNA:CR45373	CR45373
FBgn0266914	lncRNA:CR45374	long non-coding RNA:CR45374	CR45374
FBgn0266915	lncRNA:CR45375	long non-coding RNA:CR45375	CR45375
FBgn0266916	Cenp-C	Centromeric protein-C	CENP-C|CG11745|CG11746|CG31258|CLD1|CenpC|L1|cenp-C|dCENP-C|dCenpC|l(2)SH3 157|l(3)85Aa|l(3)SH157
FBgn0266917	Sf3a1	Splicing factor 3a subunit 1	CG16941|SF3A1|SF3a1|SF3a120|Sf3a1|l(2)SH3 146|l(3)SH146|sf3a1
FBgn0266918	CG32486		CG14954|CG16745|anon-WO0118547.267|l(2)SH3 095|l(3)SH095
FBgn0266921	ft::Hsap\FAT4		Fat:Fat4
FBgn0266922	d::Zyx		Zyx:Dachs
FBgn0266925	asRNA:CR45376	antisense RNA:CR45376	CR45376
FBgn0266926	lncRNA:CR45377	long non-coding RNA:CR45377	CR45377|chr2R_7592327_7592857
FBgn0266927	lncRNA:CR45378	long non-coding RNA:CR45378	CR45378
FBgn0266928	lncRNA:CR45379	long non-coding RNA:CR45379	CR45379
FBgn0266929	lncRNA:CR45380	long non-coding RNA:CR45380	CR45380
FBgn0266930	lncRNA:CR45381	long non-coding RNA:CR45381	CR45381
FBgn0266931	lncRNA:CR45382	long non-coding RNA:CR45382	CR45382
FBgn0266932	lncRNA:CR45383	long non-coding RNA:CR45383	CR45383
FBgn0266933	asRNA:CR45384	antisense RNA:CR45384	CR45384
FBgn0266934	CR45385		
FBgn0266935	lncRNA:CR45386	long non-coding RNA:CR45386	CR45386|lincRNA.619
FBgn0266936	lncRNA:CR45387	long non-coding RNA:CR45387	CR45387
FBgn0266937	lncRNA:CR45388	long non-coding RNA:CR45388	CR45388|pri-mir-315
FBgn0266938	lncRNA:CR45389	long non-coding RNA:CR45389	CR45389
FBgn0266939	lncRNA:CR45390	long non-coding RNA:CR45390	CR45390
FBgn0266940	CR45391		
FBgn0266941	lncRNA:CR45392	long non-coding RNA:CR45392	CR45392|lincRNA.596
FBgn0266942	lncRNA:CR45393	long non-coding RNA:CR45393	CR45393
FBgn0266943	lncRNA:CR45394	long non-coding RNA:CR45394	CR45394
FBgn0266944	lncRNA:CR45395	long non-coding RNA:CR45395	CR45395|lincRNA.571
FBgn0266945	asRNA:CR45396	antisense RNA:CR45396	CR45396
FBgn0266946	asRNA:CR45397	antisense RNA:CR45397	CR45397
FBgn0266947	lncRNA:CR45398	long non-coding RNA:CR45398	CR45398
FBgn0266948	lncRNA:CR45399	long non-coding RNA:CR45399	CR45399
FBgn0266949	lncRNA:CR45400	long non-coding RNA:CR45400	CR45400
FBgn0266950	lncRNA:CR45401	long non-coding RNA:CR45401	CR45401
FBgn0266951	lncRNA:CR45402	long non-coding RNA:CR45402	CR45402
FBgn0266952	lncRNA:CR45403	long non-coding RNA:CR45403	CR45403
FBgn0266953	lncRNA:CR45404	long non-coding RNA:CR45404	CR45404
FBgn0266954	lncRNA:CR45405	long non-coding RNA:CR45405	CR45405
FBgn0266955	lncRNA:CR45406	long non-coding RNA:CR45406	CR45406
FBgn0266956	lncRNA:CR45407	long non-coding RNA:CR45407	CR45407
FBgn0266957	lncRNA:CR45408	long non-coding RNA:CR45408	CR45408
FBgn0266958	lncRNA:CR45409	long non-coding RNA:CR45409	CR45409
FBgn0266959	lncRNA:CR45410	long non-coding RNA:CR45410	CR45410
FBgn0266960	lncRNA:CR45411	long non-coding RNA:CR45411	CR45411
FBgn0266961	lncRNA:CR45412	long non-coding RNA:CR45412	CR45412
FBgn0266962	CG45413		
FBgn0266963	lncRNA:CR45414	long non-coding RNA:CR45414	CR45414
FBgn0266964	lncRNA:CR45415	long non-coding RNA:CR45415	CR45415
FBgn0266965	lncRNA:CR45416	long non-coding RNA:CR45416	CR45416
FBgn0266966	lncRNA:CR45417	long non-coding RNA:CR45417	CR45417
FBgn0266967	lncRNA:CR45418	long non-coding RNA:CR45418	CR45418
FBgn0266968	lncRNA:CR45419	long non-coding RNA:CR45419	CR45419
FBgn0266969	lncRNA:CR45420	long non-coding RNA:CR45420	CR45420|lincRNA.452
FBgn0266970	lncRNA:CR45421	long non-coding RNA:CR45421	CR45421
FBgn0266971	lncRNA:CR45422	long non-coding RNA:CR45422	CR45422
FBgn0266972	lncRNA:CR45423	long non-coding RNA:CR45423	CR44454|CR44637|CR45423
